%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1705447352881728460,0,108.0,57.0,48.0,96.0
1705447352913056832,0,106.0,56.0,47.0,97.0
1705447352944725402,0,105.0,55.0,47.0,98.0
1705447352975665870,0,103.0,56.0,47.0,99.0
1705447353007138837,0,103.0,56.0,49.0,99.0
1705447353038114209,0,102.0,57.0,49.0,98.0
1705447353069686304,0,102.0,56.0,50.0,97.0
1705447353100988065,0,102.0,56.0,48.0,99.0
1705447353132928809,0,102.0,55.0,49.0,99.0
1705447353164483640,0,102.0,54.0,48.0,101.0
1705447353195998704,0,102.0,53.0,48.0,100.0
1705447353231221239,0,101.0,52.0,46.0,100.0
1705447353257076815,0,101.0,53.0,46.0,100.0
1705447353288771941,0,98.0,53.0,46.0,99.0
1705447353322012833,0,97.0,53.0,48.0,99.0
1705447353355451305,0,94.0,53.0,50.0,99.0
1705447353384245899,0,92.0,52.0,53.0,100.0
1705447353414009444,0,90.0,53.0,52.0,101.0
1705447353446957930,0,90.0,52.0,56.0,100.0
1705447353477273728,0,91.0,51.0,60.0,100.0
1705447353508533167,0,91.0,51.0,66.0,99.0
1705447353540792400,0,90.0,52.0,68.0,99.0
1705447353571735174,0,89.0,54.0,73.0,98.0
1705447353603660278,0,90.0,54.0,79.0,99.0
1705447353633282272,0,89.0,54.0,85.0,98.0
1705447353664831942,0,88.0,54.0,88.0,96.0
1705447353697245405,0,86.0,54.0,91.0,95.0
1705447353727088899,0,84.0,54.0,91.0,95.0
1705447353761812838,0,82.0,54.0,90.0,96.0
1705447353790509138,0,76.0,54.0,90.0,96.0
1705447353823884967,0,72.0,54.0,90.0,96.0
1705447353861194708,0,67.0,53.0,90.0,95.0
1705447353884328014,0,65.0,53.0,90.0,96.0
1705447353915564965,0,63.0,53.0,91.0,96.0
1705447353947028349,0,62.0,55.0,92.0,95.0
1705447353977826985,0,60.0,57.0,91.0,96.0
1705447354010093318,0,58.0,56.0,90.0,96.0
1705447354049309026,0,56.0,53.0,90.0,97.0
1705447354072172594,0,55.0,53.0,89.0,96.0
1705447354104170621,0,55.0,54.0,89.0,95.0
1705447354134829460,0,56.0,55.0,89.0,90.0
1705447354165490960,0,56.0,53.0,89.0,83.0
1705447354197233202,0,55.0,52.0,90.0,74.0
1705447354229005486,0,54.0,53.0,91.0,63.0
1705447354260861923,0,53.0,57.0,91.0,55.0
1705447354291545215,0,53.0,62.0,95.0,50.0
1705447354321521048,0,53.0,70.0,99.0,51.0
1705447354352727563,0,52.0,79.0,105.0,57.0
1705447354384741592,0,53.0,92.0,106.0,65.0
1705447354417914056,0,53.0,103.0,107.0,75.0
1705447354447201083,0,54.0,111.0,104.0,79.0
1705447354479570791,0,53.0,113.0,101.0,81.0
1705447354511416460,0,53.0,111.0,97.0,79.0
1705447354541107936,0,53.0,110.0,96.0,78.0
1705447354573228263,0,52.0,107.0,96.0,77.0
1705447354605405892,0,52.0,106.0,98.0,78.0
1705447354635511595,0,52.0,102.0,99.0,78.0
1705447354666187585,0,52.0,99.0,100.0,78.0
1705447354697528806,0,52.0,96.0,101.0,80.0
1705447354729981662,0,53.0,93.0,102.0,83.0
1705447354760667455,0,54.0,90.0,101.0,88.0
1705447354791277693,0,54.0,88.0,98.0,92.0
1705447354822467937,0,53.0,86.0,97.0,96.0
1705447354862973229,0,53.0,85.0,97.0,99.0
1705447354884628136,0,52.0,85.0,97.0,101.0
1705447354916318192,0,52.0,87.0,95.0,103.0
1705447354947924465,0,53.0,87.0,93.0,103.0
1705447354978466625,0,53.0,87.0,90.0,103.0
1705447355013564814,0,53.0,85.0,89.0,104.0
1705447355042440368,0,53.0,83.0,87.0,105.0
1705447355073889797,0,53.0,80.0,85.0,106.0
1705447355104531834,0,53.0,77.0,82.0,106.0
1705447355135832278,0,54.0,75.0,81.0,104.0
1705447355167402397,0,55.0,72.0,81.0,104.0
1705447355198666958,0,54.0,69.0,81.0,104.0
1705447355232865326,0,54.0,66.0,81.0,104.0
1705447355261918659,0,53.0,66.0,81.0,102.0
1705447355292605118,0,54.0,67.0,81.0,101.0
1705447355324224703,0,53.0,68.0,81.0,100.0
1705447355355077145,0,54.0,69.0,81.0,100.0
1705447355386244544,0,54.0,66.0,81.0,99.0
1705447355417353556,0,55.0,64.0,81.0,99.0
1705447355450615574,0,54.0,63.0,79.0,99.0
1705447355479717539,0,53.0,65.0,78.0,98.0
1705447355511845729,0,54.0,66.0,78.0,93.0
1705447355542230440,0,55.0,66.0,76.0,88.0
1705447355573867440,0,59.0,67.0,75.0,82.0
1705447355607069956,0,64.0,68.0,74.0,79.0
1705447355638609335,0,70.0,72.0,73.0,77.0
1705447355670735268,0,76.0,75.0,73.0,76.0
1705447355704056824,0,83.0,81.0,73.0,77.0
1705447355729778529,0,88.0,84.0,75.0,78.0
1705447355768419383,0,91.0,86.0,74.0,78.0
1705447355792526045,0,91.0,87.0,76.0,78.0
1705447355824211634,0,91.0,87.0,75.0,78.0
1705447355855345611,0,90.0,87.0,77.0,78.0
1705447355886485219,0,91.0,87.0,78.0,81.0
1705447355923071714,0,91.0,88.0,80.0,86.0
1705447355949057623,0,91.0,89.0,82.0,90.0
1705447355984879700,0,90.0,88.0,83.0,91.0
1705447356011632793,0,89.0,87.0,85.0,91.0
1705447356044493357,0,89.0,85.0,85.0,91.0
1705447356078400216,0,89.0,84.0,84.0,92.0
1705447356105516957,0,90.0,86.0,84.0,93.0
1705447356140989992,0,89.0,85.0,84.0,92.0
1705447356168956143,0,89.0,86.0,83.0,90.0
1705447356200196998,0,87.0,84.0,82.0,91.0
1705447356233327383,0,88.0,85.0,81.0,90.0
1705447356266113785,0,88.0,86.0,80.0,90.0
1705447356296476175,0,89.0,87.0,80.0,89.0
1705447356329453155,0,89.0,86.0,79.0,89.0
1705447356356976820,0,90.0,84.0,79.0,90.0
1705447356387739212,0,90.0,84.0,80.0,90.0
1705447356419438882,0,90.0,85.0,81.0,90.0
1705447356451163258,0,89.0,86.0,82.0,90.0
1705447356481704730,0,89.0,85.0,82.0,90.0
1705447356513041769,0,88.0,85.0,83.0,89.0
1705447356543884907,0,88.0,83.0,83.0,89.0
1705447356574852782,0,89.0,84.0,83.0,90.0
1705447356607098534,0,90.0,83.0,84.0,91.0
1705447356638086934,0,91.0,84.0,84.0,91.0
1705447356669348380,0,91.0,83.0,84.0,90.0
1705447356700751065,0,91.0,83.0,83.0,91.0
1705447356731641682,0,91.0,84.0,84.0,90.0
1705447356762201216,0,91.0,83.0,83.0,91.0
1705447356794192047,0,91.0,84.0,84.0,91.0
1705447356825889321,0,91.0,83.0,84.0,93.0
1705447356864449769,0,91.0,84.0,84.0,94.0
1705447356890090505,0,91.0,84.0,84.0,93.0
1705447356922091005,0,92.0,84.0,83.0,93.0
1705447356952656928,0,92.0,84.0,83.0,92.0
1705447356982878327,0,92.0,84.0,82.0,94.0
1705447357012960794,0,91.0,83.0,82.0,93.0
1705447357044974290,0,91.0,83.0,83.0,94.0
1705447357077862431,0,91.0,83.0,84.0,94.0
1705447357108239389,0,93.0,83.0,84.0,94.0
1705447357138560868,0,92.0,84.0,84.0,94.0
1705447357169801823,0,92.0,83.0,84.0,93.0
1705447357202198357,0,92.0,84.0,84.0,93.0
1705447357234676385,0,93.0,85.0,83.0,93.0
1705447357269889708,0,94.0,84.0,82.0,93.0
1705447357295627051,0,94.0,85.0,81.0,94.0
1705447357333032116,0,93.0,84.0,82.0,94.0
1705447357357606271,0,93.0,85.0,83.0,95.0
1705447357390357533,0,93.0,84.0,83.0,94.0
